Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Dead,Link
928,The Legions Ten,EU (DE)-Antonidas,2,German,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/antonidas/The+Legions+Ten
949,Canopy,EU-Argent Dawn,2,English,False,True,True,False,False,True,False,False,https://www.wowprogress.com/guild/eu/argent-dawn/Canopy
949,Lemoncats,EU-Argent Dawn,2,English,False,True,False,True,False,True,False,False,https://www.wowprogress.com/guild/eu/argent-dawn/Lemoncats
953,Experience,EU (DE)-Frostwolf,2,German,True,True,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/frostwolf/Experience
954,Divided,EU-Ragnaros,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/ragnaros/Divided
954,Indecision,EU-Ravencrest,2,English,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/ravencrest/Indecision
958,Let us Cook,EU (DE)-Antonidas,2,German,False,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/antonidas/Let+us+Cook
961,Carried By Bots,EU (DE)-Blackrock,2,German,False,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/blackrock/Carried+By+Bots
963,improved,EU (DE)-Blackrock,2,German,False,True,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackrock/improved
969,Intensity,EU (DE)-Thrall,2,German,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/thrall/Intensity
973,Fragments,EU-Outland,2,English,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/outland/Fragments
977,Requiem,EU-Tarren Mill,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/Requiem
979,No Hard Feelings [ LHF],EU-Silvermoon,2,English,False,False,True,False,False,False,True,False,https://www.wowprogress.com/team/eu/silvermoon/raid-LHF
980,Toy Bagels,EU-Tarren Mill,2,English,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/Toy+Bagels
995,all gas no break,EU (DE)-Blackhand,2,German,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/all+gas+no+break
997,Ancient Prophecies,EU-Twisting Nether,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/twisting-nether/Ancient+Prophecies
998,dritte art,EU (DE)-Antonidas,2,German,False,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/antonidas/dritte+art
999,Karazhan Schach Club,EU (DE)-Blackmoore,2,German,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackmoore/Karazhan+Schach+Club
